route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
7,2022_09_12-SU-MVS-Sunday-56,1310857,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-SU-MVS-Sunday-56,1310880,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-SU-MVS-Sunday-56,1310856,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-SU-MVS-Sunday-56,1310879,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-SU-MVS-Sunday-56,1310855,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-SU-MVS-Sunday-56,1310966,Millbrae (Caltrain Transfer Platform),0,,1231019_shp,,1,1
8,2022_09_12-SU-MVS-Sunday-56,1310878,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-SU-MVS-Sunday-56,1310854,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-SU-MVS-Sunday-56,1310877,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
11,2022_09_12-SU-MVS-Sunday-56,1311082,OAK Airport / SF / Daly City,1,,1186155_shp,,1,1
12,2022_09_12-SU-MVS-Sunday-56,1311047,SF / OAK Airport / Dublin/Pleasanton,0,,1186011_shp,,1,1
11,2022_09_12-SU-MVS-Sunday-56,1311081,OAK Airport / SF / Daly City,1,,1186155_shp,,1,1
12,2022_09_12-SU-MVS-Sunday-56,1311046,SF / OAK Airport / Dublin/Pleasanton,0,,1186011_shp,,1,1
11,2022_09_12-SU-MVS-Sunday-56,1311080,OAK Airport / SF / Daly City,1,,1186155_shp,,1,1
12,2022_09_12-SU-MVS-Sunday-56,1311013,SF / OAK Airport / Dublin/Pleasanton,0,,1186011_shp,,1,1
11,2022_09_12-SU-MVS-Sunday-56,1311079,OAK Airport / SF / Daly City,1,,1186155_shp,,1,1
12,2022_09_12-SU-MVS-Sunday-56,1311045,SF / OAK Airport / Dublin/Pleasanton,0,,1186011_shp,,1,1
11,2022_09_12-SU-MVS-Sunday-56,1311078,OAK Airport / SF / Daly City,1,,1186155_shp,,1,1
